week,visitors,sales,revenue
2014-05-26,231.375,306.25,0.0
2014-06-02,253.375,211.625,0.0
2014-06-09,240.25,289.375,0.0
2014-06-16,252.25,312.375,0.0
2014-06-23,232.5,364.875,0.0
2014-06-30,218.46977124183007,461.55882352941177,0.0
2014-07-07,245.25,323.875,0.0
2014-07-14,216.875,491.5,0.0
2014-07-21,219.83928571428572,461.92857142857144,0.0
2014-07-28,219.5,480.625,0.0
2014-08-04,212.23529411764704,515.8768382352941,0.0
2014-08-11,218.67857142857142,413.44642857142856,0.0
2014-08-18,229.875,338.30357142857144,0.0
2014-08-25,218.10714285714286,432.8392857142857,0.0
2014-09-01,201.17857142857142,525.7321428571429,0.0
2014-09-08,204.57142857142858,506.4642857142857,0.0
2014-09-15,214.0,419.75,0.0
2014-09-22,212.0,350.75,0.0
2014-09-29,214.05357142857142,367.35714285714283,0.0
2014-10-06,196.83928571428572,391.89285714285717,0.0
2014-10-13,172.375,415.8095238095238,0.0
2014-10-20,177.25,442.75,0.0
2014-10-27,167.375,413.0,0.0
2014-11-03,164.75,410.625,0.0
2014-11-10,134.0,345.125,0.0
2014-11-17,128.5,395.875,0.0
2014-11-24,130.5,408.375,0.0
2014-12-01,140.875,382.82142857142856,0.0
2014-12-08,123.78571428571428,477.57142857142856,0.0
2014-12-15,91.5,537.875,0.0
2014-12-22,68.25,559.75,0.0
2014-12-29,94.0,549.75,0.0
2015-01-05,78.375,557.625,0.0
2015-01-12,86.75,547.375,0.0
2015-01-19,93.25,568.875,0.0
2015-01-26,91.71428571428571,475.875,0.0
2015-02-02,111.0,473.25,0.0
2015-02-09,119.625,456.0,0.0
2015-02-16,152.53571428571428,479.67857142857144,0.0
2015-02-23,145.375,421.125,0.0
2015-03-02,127.125,522.5,0.0
2015-03-09,135.125,475.0,0.0
2015-03-16,154.60714285714286,478.1071428571429,0.0
2015-03-23,185.0,409.0,0.0
2015-03-30,172.96428571428572,452.4642857142857,0.0
2015-04-06,180.125,385.625,0.0
2015-04-13,194.25,385.375,0.0
2015-04-20,216.5,263.375,0.0
2015-04-27,217.375,316.25,0.0
2015-05-04,236.92857142857144,180.17857142857144,0.0
2015-05-11,216.25,333.375,0.0
2015-05-18,245.25,206.5,0.0
2015-05-25,243.125,189.875,0.0
2015-06-01,222.5,295.75,0.0
2015-06-08,240.375,284.2857142857143,0.0
2015-06-15,231.75,366.625,0.0
2015-06-22,225.5,417.75,0.0
2015-06-29,230.58928571428572,362.1607142857143,0.0
2015-07-06,194.5,603.5,0.0
2015-07-13,216.25,479.75,0.0
2015-07-20,217.73214285714286,483.625,0.0
2015-07-27,203.5,478.125,0.0
2015-08-03,205.52232142857142,553.1919642857143,0.0
2015-08-10,209.5,548.125,0.0
2015-08-17,211.375,472.125,0.0
2015-08-24,224.125,422.9107142857143,0.0
2015-08-31,221.60714285714286,328.4785714285714,0.0
2015-09-07,220.39285714285714,347.17857142857144,0.0
2015-09-14,219.39285714285714,433.7678571428571,0.0
2015-09-21,203.71428571428572,403.51785714285717,0.0
2015-09-28,201.66071428571428,371.61904761904765,0.0
2015-10-05,199.82142857142858,417.32142857142856,0.0
2015-10-12,197.10714285714286,444.7142857142857,0.0
2015-10-19,182.35714285714286,401.26785714285717,0.0
2015-10-26,161.0,434.25,0.0
2015-11-02,159.875,503.0,0.0
2015-11-09,155.5,447.25,0.0
2015-11-16,134.625,419.625,0.0
2015-11-23,130.25,482.0,0.0
2015-11-30,126.75,519.25,0.0
2015-12-07,116.80357142857143,539.4107142857143,0.0
2015-12-14,88.625,480.0,0.0
2015-12-21,88.0,498.5,0.0
2015-12-28,107.08928571428571,489.1607142857143,0.0
2016-01-04,113.06547619047619,557.3511904761905,0.0
2016-01-11,108.17916666666666,542.7208333333333,0.0
2016-01-18,87.23630952380952,571.9505952380953,0.0
2016-01-25,117.75,520.9863095238095,0.0
2016-02-01,104.22645687645688,458.30256410256413,0.0
2016-02-08,126.590497002997,436.18859473859476,0.0
2016-02-15,141.77408424908427,455.442673992674,0.0
2016-02-22,155.27857142857144,395.2964285714286,0.0
2016-02-29,173.78333333333333,401.98205128205126,0.0
2016-03-07,170.5845238095238,439.28214285714284,0.0
2016-03-14,176.79821428571427,410.8363095238095,0.0
2016-03-21,186.8125,337.925,0.0
2016-03-28,208.82619047619048,301.0958333333333,0.0
2016-04-04,218.68333333333334,230.02916666666667,0.0
2016-04-11,228.85416666666666,196.06666666666666,0.0
2016-04-18,233.16666666666666,182.5223484848485,0.0
2016-04-25,234.28777472527472,171.05494505494505,0.0
2016-05-02,237.69761904761904,233.65714285714284,0.0
2016-05-09,246.51495098039214,259.78014705882356,0.0
2016-05-16,260.17261904761904,251.8375,0.0
2016-05-23,238.06245085006526,313.0439150380512,0.0
2016-05-30,244.9470238095238,338.0434523809524,0.0
2016-06-06,246.92916666666667,322.20714285714286,0.0
2016-06-13,242.52797619047618,354.6613095238095,0.0
2016-06-20,237.51639194139193,408.5106227106227,0.0
2016-06-27,226.02738095238095,486.9214285714286,0.0
2016-07-04,227.31666666666666,479.68333333333334,0.0
2016-07-11,209.9375,567.375,0.0
2016-07-18,225.7375,471.1958333333333,0.0
2016-07-25,204.07083333333333,588.5458333333333,0.0
2016-08-01,222.4704248366013,486.66952614379085,0.0
2016-08-08,213.82252747252747,540.5297720797721,0.0
2016-08-15,219.67857142857142,489.21560846560845,0.0
2016-08-22,221.77169312169312,497.7017989417989,0.0
2016-08-29,208.1568627998834,529.6480173957748,0.0
2016-09-05,217.25491452991454,402.3051282051282,0.0
2016-09-12,222.71829836829835,417.3935064935065,0.0
2016-09-19,222.58691626409018,435.0135277202669,0.0
2016-09-26,225.90322510822512,418.381620971621,0.0
2016-10-03,215.84182336182337,443.2015527065527,0.0
2016-10-10,204.89814814814815,345.42526455026456,0.0
2016-10-17,200.34527324527323,349.4663986013986,0.0
2016-10-24,186.83189892233372,414.1447888021801,0.0
2016-10-31,169.14647500647501,439.93262367262366,0.0
2016-11-07,166.54950012950013,371.3325407925408,0.0
2016-11-14,153.73358974358973,395.59435897435895,0.0
2016-11-21,159.89502977840573,310.3613224774956,0.0
2016-11-28,143.00188844971453,438.4190272288098,0.0
2016-12-05,128.22760295260295,494.70565268065263,0.0
2016-12-12,125.0979797979798,432.65808080808085,0.0
2016-12-19,119.86103896103896,464.4220779220779,0.0
2016-12-26,105.59621335948567,574.974430641822,0.0
